Name, NSSDC,LaunchLoc,LaunchCountry,LaunchDate,URL
Sputnik 10,1961-009A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,3/25/61,/nmc/spacecraftDisplay.do?id=1961-009A
Discoverer 22,DISC22,Vandenberg AFB, United States,3/30/61,/nmc/spacecraftDisplay.do?id=DISC22
Discoverer 23,1961-011A,Vandenberg AFB, United States,4/8/61,/nmc/spacecraftDisplay.do?id=1961-011A
Vostok 1,1961-012A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,4/12/61,/nmc/spacecraftDisplay.do?id=1961-012A
Mercury Atlas 3,MERCA3,Cape Canaveral, United States,4/25/61,/nmc/spacecraftDisplay.do?id=MERCA3
S 15,1961-013A,Cape Canaveral, United States,4/27/61,/nmc/spacecraftDisplay.do?id=1961-013A
Mercury Redstone 3,MERCR3,Cape Canaveral, United States,5/5/61,/nmc/spacecraftDisplay.do?id=MERCR3
Explorer S45A,EXS-452,Cape Canaveral, United States,5/24/61,/nmc/spacecraftDisplay.do?id=EXS-452
Discoverer 24,DISC24,Vandenberg AFB, United States,6/8/61,/nmc/spacecraftDisplay.do?id=DISC24
Discoverer 25,1961-014A,Vandenberg AFB, United States,6/16/61,/nmc/spacecraftDisplay.do?id=1961-014A
Injun 1,1961-015B,Cape Canaveral, United States,6/29/61,/nmc/spacecraftDisplay.do?id=1961-015B
Transit 4A,1961-015A,Cape Canaveral, United States,6/29/61,/nmc/spacecraftDisplay.do?id=1961-015A
Explorer S55,EXS-55,Wallops Island, United States,6/30/61,/nmc/spacecraftDisplay.do?id=EXS-55
Discoverer 26,1961-016A,Vandenberg AFB, United States,7/7/61,/nmc/spacecraftDisplay.do?id=1961-016A
MIDAS  3,1961-018A,Point Arguello, United States,7/12/61,/nmc/spacecraftDisplay.do?id=1961-018A
TIROS  3,1961-017A,Cape Canaveral, United States,7/12/61,/nmc/spacecraftDisplay.do?id=1961-017A
Mercury Redstone 4,MERCR4,Cape Canaveral, United States,7/21/61,/nmc/spacecraftDisplay.do?id=MERCR4
Discoverer 27,DISC27,Vandenberg AFB, United States,7/22/61,/nmc/spacecraftDisplay.do?id=DISC27
Discoverer 28,DISC28,Vandenberg AFB, United States,8/3/61,/nmc/spacecraftDisplay.do?id=DISC28
Vostok 2,1961-019A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,8/6/61,/nmc/spacecraftDisplay.do?id=1961-019A
Explorer 12,1961-020A,Cape Canaveral, United States,8/16/61,/nmc/spacecraftDisplay.do?id=1961-020A
Ranger 1,1961-021A,Cape Canaveral, United States,8/23/61,/nmc/spacecraftDisplay.do?id=1961-021A
S 55A,1961-022A,Wallops Island, United States,8/25/61,/nmc/spacecraftDisplay.do?id=1961-022A
Discoverer 29,1961-023A,Vandenberg AFB, United States,8/30/61,/nmc/spacecraftDisplay.do?id=1961-023A
SAMOS  3,SAMOS3,Point Arguello, United States,9/9/61,/nmc/spacecraftDisplay.do?id=SAMOS3
Discoverer 30,1961-024A,Vandenberg AFB, United States,9/12/61,/nmc/spacecraftDisplay.do?id=1961-024A
